NAME,ORIG_TARGET_ID,TARGET_ID,RA,DEC,START_TIME,STOP_TIME,ORIG_OBS_SEGM,OBS_SEGMENT,ORIG_OBSID,OBSID,XRT_EXPOSURE,XRT_EXPO_PC,ARCHIVE_DATE,PROCESSING_DA,PROCESSING_DATE,PROCESSING_VE
SAFE3-CURR,60002,60002,0.640524,0.2784,20/11/2004,21/11/2004,0,0,60002000,60002000,0,0,27/11/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
SAFE5-CURR,60004,60004,0.640524,0.2784,21/11/2004,21/11/2004,0,0,60004000,60004000,0,0,28/11/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,12/11/2006,3.7.6
SAFE1-NEW,60006,60006,0.640524,0.2784,21/11/2004,21/11/2004,0,0,60006000,60006000,0,0,28/11/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
SAFE3-IMAGING,60008,60008,0.640524,0.2784,21/11/2004,21/11/2004,0,0,60008000,60008000,0,0,28/11/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
SAFE5-IMAGING,60010,60010,0.640524,0.2784,21/11/2004,22/11/2004,0,0,60010000,60010000,0,0,28/11/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60012,60012,0.640524,0.2784,22/11/2004,22/11/2004,0,0,60012000,60012000,0,0,29/11/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60014,60014,0.640524,0.2784,22/11/2004,22/11/2004,0,0,60014000,60014000,0,0,29/11/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60016,60016,0.640524,0.2784,22/11/2004,22/11/2004,0,0,60016000,60016000,0,0,29/11/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60018,60018,0.640524,0.2784,22/11/2004,23/11/2004,0,0,60018000,60018000,0,0,29/11/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60020,60020,0.640524,0.2784,23/11/2004,23/11/2004,0,0,60020000,60020000,0,0,30/11/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60022,60022,0.640524,0.2784,23/11/2004,23/11/2004,0,0,60022000,60022000,0,0,30/11/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60024,60024,0.640524,0.2784,23/11/2004,24/11/2004,0,0,60024000,60024000,0,0,30/11/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60026,60026,0.640524,0.2784,23/11/2004,24/11/2004,0,0,60026000,60026000,0,0,30/11/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60028,60028,0.640524,0.2784,24/11/2004,24/11/2004,0,0,60028000,60028000,0,0,1/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60030,60030,0.640524,0.2784,24/11/2004,24/11/2004,0,0,60030000,60030000,0,0,1/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60032,60032,0.640524,0.2784,24/11/2004,25/11/2004,0,0,60032000,60032000,0,0,1/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60034,60034,0.640524,0.2784,24/11/2004,25/11/2004,0,0,60034000,60034000,0,0,1/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,15/11/2006,3.7.6
NON-SCIENCEDATA,60036,60036,0.640524,0.2784,24/11/2004,25/11/2004,0,0,60036000,60036000,0,0,1/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60038,60038,0.640524,0.2784,25/11/2004,25/11/2004,0,0,60038000,60038000,0,0,2/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,12/11/2006,3.7.6
NON-SCIENCEDATA,60040,60040,0.640524,0.2784,25/11/2004,26/11/2004,0,0,60040000,60040000,0,0,2/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60042,60042,0.640524,0.2784,25/11/2004,26/11/2004,0,0,60042000,60042000,0,0,2/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60044,60044,0.640524,0.2784,25/11/2004,26/11/2004,0,0,60044000,60044000,0,0,2/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60046,60046,0.640524,0.2784,26/11/2004,26/11/2004,0,0,60046000,60046000,0,0,3/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60048,60048,0.640524,0.2784,26/11/2004,27/11/2004,0,0,60048000,60048000,0,0,3/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60050,60050,0.640524,0.2784,26/11/2004,27/11/2004,0,0,60050000,60050000,0,0,3/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60052,60052,0.640524,0.2784,26/11/2004,27/11/2004,0,0,60052000,60052000,0,0,3/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60054,60054,0.640524,0.2784,27/11/2004,27/11/2004,0,0,60054000,60054000,0,0,4/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60056,60056,0.640524,0.2784,27/11/2004,28/11/2004,0,0,60056000,60056000,0,0,4/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60058,60058,0.640524,0.2784,27/11/2004,28/11/2004,0,0,60058000,60058000,0,0,4/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,15/11/2006,3.7.6
NON-SCIENCEDATA,60060,60060,0.640524,0.2784,27/11/2004,28/11/2004,0,0,60060000,60060000,0,0,4/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60062,60062,0.640524,0.2784,28/11/2004,28/11/2004,0,0,60062000,60062000,0,0,5/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,15/11/2006,3.7.6
NON-SCIENCEDATA,60064,60064,0.640524,0.2784,28/11/2004,29/11/2004,0,0,60064000,60064000,0,0,5/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60066,60066,0.640524,0.2784,28/11/2004,29/11/2004,0,0,60066000,60066000,0,0,5/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60068,60068,0.640524,0.2784,28/11/2004,29/11/2004,0,0,60068000,60068000,0,0,5/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,12/11/2006,3.7.6
NON-SCIENCEDATA,60070,60070,0.640524,0.2784,29/11/2004,29/11/2004,0,0,60070000,60070000,0,0,6/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,12/11/2006,3.7.6
NON-SCIENCEDATA,60072,60072,0.640524,0.2784,29/11/2004,30/11/2004,0,0,60072000,60072000,0,0,6/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60074,60074,0.640524,0.2784,29/11/2004,30/11/2004,0,0,60074000,60074000,0,0,6/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60076,60076,0.640524,0.2784,29/11/2004,30/11/2004,0,0,60076000,60076000,0,0,6/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60078,60078,0.640524,0.2784,30/11/2004,30/11/2004,0,0,60078000,60078000,0,0,7/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60080,60080,0.640524,0.2784,30/11/2004,1/12/2004,0,0,60080000,60080000,0,0,7/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60082,60082,0.640524,0.2784,30/11/2004,1/12/2004,0,0,60082000,60082000,0,0,7/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60084,60084,0.640524,0.2784,30/11/2004,1/12/2004,0,0,60084000,60084000,0,0,7/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60086,60086,0.640524,0.2784,1/12/2004,1/12/2004,0,0,60086000,60086000,0,0,8/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60088,60088,0.640524,0.2784,1/12/2004,2/12/2004,0,0,60088000,60088000,0,0,8/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60090,60090,0.640524,0.2784,1/12/2004,2/12/2004,0,0,60090000,60090000,0,0,8/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60092,60092,0.640524,0.2784,1/12/2004,2/12/2004,0,0,60092000,60092000,0,0,8/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60094,60094,0.640524,0.2784,2/12/2004,2/12/2004,0,0,60094000,60094000,0,0,9/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60096,60096,0.640524,0.2784,2/12/2004,3/12/2004,0,0,60096000,60096000,0,0,9/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60098,60098,0.640524,0.2784,2/12/2004,3/12/2004,0,0,60098000,60098000,0,0,9/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60100,60100,0.640524,0.2784,2/12/2004,3/12/2004,0,0,60100000,60100000,0,0,9/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60102,60102,0.640524,0.2784,3/12/2004,3/12/2004,0,0,60102000,60102000,0,0,10/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60104,60104,0.640524,0.2784,3/12/2004,3/12/2004,0,0,60104000,60104000,0,0,10/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60106,60106,0.640524,0.2784,3/12/2004,4/12/2004,0,0,60106000,60106000,0,0,10/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
