RA;DEC;countrates_0.3-10keV(ph.s-1);countrates_error_0.3-10keV(ph.s-1);exposure_time(s);countrates_0.3-1keV(ph.s-1);countrates_error_0.3-1keV(ph.s-1);upper_limit_0.3-1keV(ph.s-1);countrates_1-2keV(ph.s-1);countrates_error_1-2keV(ph.s-1);upper_limit_1-2keV(ph.s-1);countrates_2-10keV(ph.s-1);countrates_error_2-10keV(ph.s-1);upper_limit_2-10keV(ph.s-1)
00:56:24.480;-01:16:38.317;5.645E-03;1.500E-03;4572.8;8.684E-04;6.000E-04;-9.990E+02;3.040E-03;1.125E-03;-9.990E+02;1.737E-03;8.531E-04;-9.990E+02
00:56:19.136;-01:14:58.198;4.449E-03;1.400E-03;4684.2;4.943E-04;4.846E-04;-9.990E+02;1.977E-03;9.585E-04;-9.990E+02;1.977E-03;9.585E-04;-9.990E+02
00:56:23.004;-01:13:39.516;3.901E-03;1.400E-03;4649.6;8.670E-04;6.785E-04;-9.990E+02;1.301E-03;8.400E-04;-9.990E+02;1.734E-03;9.692E-04;-9.990E+02
00:56:16.418;-01:14:05.418;5.795E-03;1.600E-03;4642.0;4.458E-04;4.600E-04;-9.990E+02;2.674E-03;1.100E-03;-9.990E+02;2.674E-03;1.100E-03;-9.990E+02
00:56:16.922;-01:13:16.401;5.224E-03;1.500E-03;4587.3;2.177E-03;9.375E-04;-9.990E+02;1.306E-03;7.406E-04;-9.990E+02;1.741E-03;8.531E-04;-9.990E+02
00:56:13.359;-01:14:55.309;4.341E-03;1.400E-03;4462.9;2.170E-03;1.002E-03;-9.990E+02;1.627E-03;8.723E-04;-9.990E+02;5.425E-04;5.062E-04;-9.990E+02
00:56:25.869;-01:21:22.204;3.120E-03;1.200E-03;4736.2;1.560E-03;8.800E-04;-9.990E+02;1.170E-03;-1.199E+00;3.436E-03;1.560E-03;8.800E-04;-9.990E+02
00:56:03.046;-01:14:21.755;3.536E-03;1.300E-03;4647.6;1.010E-03;7.069E-04;-9.990E+02;2.526E-03;1.138E-03;-9.990E+02;1.768E-03;-1.299E+00;3.341E-03
23:44:40.573;-00:12:08.572;6.249E-03;1.200E-03;4881.5;1.785E-03;6.565E-04;-9.990E+02;2.678E-03;7.765E-04;-9.990E+02;1.785E-03;6.565E-04;-9.990E+02
23:44:44.654;-00:06:45.581;3.441E-03;9.100E-04;5492.7;1.147E-03;5.377E-04;-9.990E+02;3.824E-04;3.061E-04;-9.990E+02;1.911E-03;6.949E-04;-9.990E+02
