RA;DEC;NH;ENERGY_SLOPE;ENERGY_SLOPE_ERROR;EXPOSURE_TIME;nufnu_3keV(erg.s-1.cm-2);nufnu_error_3keV(erg.s-1.cm-2);nufnu_0.5keV(erg.s-1.cm-2);nufnu_error_0.5keV(erg.s-1.cm-2);upper_limit_0.5keV(erg.s-1.cm-2);nufnu_1.5keV(erg.s-1.cm-2);nufnu_error_1.5keV(erg.s-1.cm-2);upper_limit_1.5keV(erg.s-1.cm-2);nufnu_4.5keV(erg.s-1.cm-2);nufnu_error_4.5keV(erg.s-1.cm-2);upper_limit_4.5keV(erg.s-1.cm-2)
00:56:24.480;-01:16:38.317;3.54E+20;0.8;-999/-999;4572.8;7.96961e-14;2.1177e-14;2.24733e-14;1.55274e-14;-9.990E+02;1.08826e-13;4.02727e-14;-9.990E+02;9.37007e-14;4.60196e-14;-9.990E+02
00:56:19.136;-01:14:58.198;3.52E+20;0.8;-999/-999;4684.2;6.27709e-14;1.97526e-14;1.27727e-14;1.25221e-14;-9.990E+02;7.07549e-14;3.43038e-14;-9.990E+02;1.06643e-13;5.17034e-14;-9.990E+02
00:56:23.004;-01:13:39.516;3.51E+20;0.8;-999/-999;4649.6;5.50197e-14;1.97456e-14;2.23859e-14;1.75189e-14;-9.990E+02;4.65563e-14;3.00594e-14;-9.990E+02;9.35337e-14;5.22796e-14;-9.990E+02
00:56:16.418;-01:14:05.418;3.51E+20;0.8;-999/-999;4642.0;8.17327e-14;2.25664e-14;1.15106e-14;1.18772e-14;-9.990E+02;9.56891e-14;3.93635e-14;-9.990E+02;1.44238e-13;5.93351e-14;-9.990E+02
00:56:16.922;-01:13:16.401;3.50E+20;0.8;-999/-999;4587.3;7.36584e-14;2.115e-14;5.61688e-14;2.41884e-14;-9.990E+02;4.673e-14;2.64994e-14;-9.990E+02;9.39095e-14;4.60162e-14;-9.990E+02
00:56:13.359;-01:14:55.309;3.51E+20;0.8;-999/-999;4462.9;6.12255e-14;1.97456e-14;5.60294e-14;2.58716e-14;-9.990E+02;5.82222e-14;3.12153e-14;-9.990E+02;2.9263e-14;2.73049e-14;-9.990E+02
00:56:25.869;-01:21:22.204;3.57E+20;0.8;-999/-999;4736.2;4.40918e-14;1.69584e-14;4.04633e-14;2.28254e-14;-9.990E+02;4.18989e-14;-4.29374e-11;1.23047e-13;8.41558e-14;4.74725e-14;-9.990E+02
00:56:03.046;-01:14:21.755;3.50E+20;0.8;-999/-999;4647.6;4.98576e-14;1.833e-14;2.6059e-14;1.82387e-14;-9.990E+02;9.03828e-14;4.07188e-14;-9.990E+02;9.53659e-14;-7.00681e-11;1.80214e-13
23:44:40.573;-00:12:08.572;3.36E+20;0.8;-999/-999;4881.5;8.76985e-14;1.68408e-14;4.55693e-14;1.67598e-14;-9.990E+02;9.56635e-14;2.77381e-14;-9.990E+02;9.62615e-14;3.54037e-14;-9.990E+02
23:44:44.654;-00:06:45.581;3.34E+20;0.8;-999/-999;5492.7;4.826e-14;1.27627e-14;2.9237e-14;1.3706e-14;-9.990E+02;1.36567e-14;1.09317e-14;-9.990E+02;1.03054e-13;3.74739e-14;-9.990E+02
23:44:20.701;-00:07:00.412;3.34E+20;0.8;-999/-999;5133.8;2.8597e-14;1.03785e-14;3.11998e-14;1.45089e-14;-9.990E+02;1.45638e-14;1.17924e-14;-9.990E+02;2.19914e-14;1.78067e-14;-9.990E+02
