ID,RA,DEC,NH,ENERGY_SLOPE,ENERGY_SLOPE_ERROR,nufnu_5keV(erg.s-1.cm-2),nufnu_error_5keV(erg.s-1.cm-2),nufnu_0.5keV(erg.s-1.cm-2),nufnu_error_0.5keV(erg.s-1.cm-2),upper_limit_0.5keV(erg.s-1.cm-2),nufnu_1.5keV(erg.s-1.cm-2),nufnu_error_1.5keV(erg.s-1.cm-2),upper_limit_1.5keV(erg.s-1.cm-2),nufnu_4.5keV(erg.s-1.cm-2),nufnu_error_4.5keV(erg.s-1.cm-2),upper_limit_4.5keV(erg.s-1.cm-2)
10,01:26:58.795,-01:14:17.195,3.67e+20,-0.02,+0.17/-0.14,5.34674e-13,5.34674e-14,7.91795e-14,1.50004e-14,-999.0,1.06004e-13,2.31625e-14,-999.0,4.7803e-13,6.60676e-14,-999.0
11,01:26:42.199,-01:14:07.136,3.71e+20,1.82,+0.18/-0.14,9.83007e-14,6.2592e-15,5.69335e-13,4.693e-14,-999.0,3.3171100000000003e-13,3.62454e-14,-999.0,1.0504000000000001e-13,2.27612e-14,-999.0
12,01:26:32.618,-01:12:21.290,3.73e+20,0.8,-999/-999,4.5675800000000006e-14,1.0227100000000001e-14,3.8116500000000005e-14,1.21148e-14,-999.0,5.209630000000001e-14,1.65582e-14,-999.0,1.36195e-14,-3.50362e-11,5.9302e-11
3,01:26:27.323,-01:18:13.705,3.78e+20,0.8,-999/-999,4.0361400000000005e-14,1.4184e-14,6.74823e-14,2.3715e-14,-999.0,3.06514e-14,-3.22777e-11,7.90159e-11,1.28542e-14,-4.8519e-11,1.18775e-10
13,01:27:22.695,-01:15:59.333,3.62e+20,1.131,+0.35/-0.24,5.6067700000000005e-14,8.93392e-15,6.3445e-14,1.55279e-14,-999.0,7.94832e-14,1.94532e-14,-999.0,5.5989999999999997e-14,1.94396e-14,-999.0
15,01:25:44.192,-01:22:44.154,4.16e+20,0.8,-999/-999,2.1407600000000002e-13,3.50944e-14,2.42527e-13,4.8462e-14,-999.0,1.6134100000000002e-13,4.6267500000000003e-14,-999.0,1.1441800000000001e-13,-1.18683e-10,5.94496e-11
14,01:26:00.389,-01:20:38.317,3.92e+20,1.349,+0.19/-0.14,1.7611900000000001e-13,1.48953e-14,5.01834e-13,5.12467e-14,-999.0,1.3400899999999998e-13,2.80906e-14,-999.0,1.79152e-13,3.75533e-14,-999.0
16,01:25:35.983,-01:25:41.160,4.19e+20,0.251,+0.19/-0.15,2.15883e-12,2.94372e-13,6.81174e-13,1.47986e-13,-999.0,8.98532e-13,-3.67291e-10,4.95224e-11,2.6396e-12,4.67943e-13,-999.0
8,01:26:05.435,-01:26:52.958,4.12e+20,0.8,-999/-999,2.4981400000000002e-14,8.44396e-15,1.8157400000000003e-14,9.27734e-15,-999.0,1.61446e-14,1.0204299999999999e-14,-999.0,2.4183500000000002e-14,1.52854e-14,-999.0
9,01:26:11.419,-01:11:55.131,3.83e+20,0.8,-999/-999,4.4987300000000006e-14,1.1996600000000001e-14,5.279019999999999e-14,1.7008700000000002e-14,-999.0,3.07097e-14,1.46993e-14,-999.0,4.39515e-14,-4.09725e-11,3.56836e-11
18,01:33:52.466,+01:13:43.093,2.56e+20,0.84,+0.31/-0.22,3.8537800000000003e-13,5.87161e-14,2.82988e-13,6.61031e-14,-999.0,2.88801e-13,8.03382e-14,-999.0,3.73986e-13,1.1327799999999999e-13,-999.0
19,01:33:48.007,+01:06:38.237,2.56e+20,0.8,-999/-999,6.63792e-14,2.7223200000000004e-14,6.3192e-14,3.2736e-14,-999.0,4.72717e-14,-6.36186e-11,4.67409e-11,9.45782e-14,6.16697e-14,-999.0
31,01:26:59.117,+01:12:47.423,2.82e+20,0.514,+0.48/-0.30,4.77771e-14,1.0729e-14,1.0762799999999999e-14,5.30082e-15,-999.0,3.39166e-14,1.1583799999999999e-14,-999.0,4.5050300000000004e-14,1.7175799999999998e-14,-999.0
32,01:27:13.860,+01:13:19.311,2.78e+20,0.8,-999/-999,4.5357199999999995e-14,8.68737e-15,1.3625999999999999e-14,5.9352899999999995e-15,-999.0,7.25839e-14,1.66524e-14,-999.0,2.00484e-14,1.08405e-14,-999.0
30,01:27:13.375,+01:14:23.941,2.78e+20,0.285,+0.44/-0.28,6.81642e-14,1.49471e-14,1.50026e-14,6.117479999999999e-15,-999.0,2.54458e-14,1.03758e-14,-999.0,6.28717e-14,2.11069e-14,-999.0
29,01:26:50.378,+01:16:11.311,2.84e+20,0.8,-999/-999,2.37174e-14,6.41424e-15,2.22306e-14,7.81494e-15,-999.0,4.59383e-15,4.3701700000000006e-15,-999.0,2.7901099999999997e-14,1.3266200000000001e-14,-999.0
35,01:27:29.470,+01:08:32.852,2.75e+20,0.8,-999/-999,3.3175300000000004e-14,8.2215e-15,3.09603e-14,1.0009100000000001e-14,-999.0,2.57639e-14,1.1032500000000001e-14,-999.0,9.78388e-15,8.539350000000001e-15,-999.0
36,01:26:38.909,+01:06:25.247,2.92e+20,0.8,-999/-999,1.88375e-14,6.432300000000001e-15,1.3016800000000001e-14,6.9106800000000005e-15,-999.0,1.2494100000000001e-14,8.14107e-15,-999.0,1.89481e-14,1.23464e-14,-999.0
34,01:27:28.140,+01:21:39.220,2.75e+20,-0.6829999999999999,+0.26/-0.20,3.99589e-13,5.0887900000000004e-14,1.21811e-14,4.68704e-15,-999.0,4.3301199999999995e-14,1.3475299999999999e-14,-999.0,3.33977e-13,5.0476599999999997e-14,-999.0
33,01:27:11.462,+01:20:23.510,2.79e+20,0.8,-999/-999,1.52917e-14,5.3361e-15,4.59359e-15,-8.54457e-12,2.30852e-11,2.0319400000000003e-14,9.313500000000001e-15,-999.0,2.31468e-14,1.2257700000000002e-14,-999.0
45,02:32:54.943,+00:26:19.598,2.06e+20,0.8,-999/-999,3.1747300000000004e-14,7.428e-15,2.46366e-14,8.05535e-15,-999.0,2.68476e-14,1.03303e-14,-999.0,1.6430599999999998e-14,1.02523e-14,-999.0
65,02:33:01.221,+00:25:18.531,2.07e+20,1.749,+0.43/-0.26,1.94682e-14,2.6204699999999998e-15,9.14215e-14,1.6375e-14,-999.0,6.675189999999999e-14,1.52836e-14,-999.0,2.05697e-14,9.424e-15,-999.0
