object;dec;ra
1FGL J2223.3+0103;1.064;335.829
1RXS J000709.8+005328;0.8914204;1.7917236
1RXS J001821.7+011859;1.316959;4.5918574
1RXS J002147.4+000036;0.01;5.4475
1RXS J003238.2-010056;-1.0155556;8.1591667
1RXS J003846.3+003430;0.5826506;9.699866
1RXS J004135.7-012143;-1.3619444;10.39875
1RXS J004547.2-005034;-0.8601794;11.4647337
1RXS J004941.8-011657;-1.2825;12.4241667
1RXS J005350.4-013023;-1.5083889;13.4580833
1RXS J005441.9+000056;0.0196282;13.6716583
1RXS J010227.1-003911;-0.6512789;15.6096601
1RXS J010243.0+010805;1.1363428;15.6795
1RXS J010939.6+005943;0.9973511;17.4125412
1RXS J011202.7-004355;-0.7310771;18.0168926
1RXS J011704.2+000025;0.0076139;19.2649471
1RXS J012202.5+002023;0.3575;20.4929167
1RXS J013051.8+012712;1.4525;22.71875
1RXS J013137.7+003251;0.5475;22.9070833
1RXS J013353.5+011343;1.2292108;23.4694129
1RXS J014239.9+000514;0.0874272;25.6603134
1RXS J014942.9+001504;0.250477;27.4271351
1RXS J015105.7-003427;-0.5740095;27.7741671
1RXS J015910.0+010518;1.0873733;29.791903
1RXS J020002.0+012123;1.3563889;30.0083333
1RXS J020106.3+003400;0.5667056;30.2757448
1RXS J020146.5+011717;1.2855556;30.44375
1RXS J020151.6+012902;1.4838889;30.465
1RXS J020220.5-010609;-1.1107874;30.584457
1RXS J020221.0-010715;-1.1208056;30.5875
1RXS J020432.4+012208;1.3677778;31.13
1RXS J020622.7-011754;-1.2983333;31.5945833
1RXS J021359.6+004245;0.7074377;33.4991265
1RXS J024241.2+005715;0.9575429;40.6679831
1RXS J030145.1+011538;1.2585607;45.4341588
1RXS J032730.1-005950;-0.9972222;51.8754167
2FGL J0158.4+0107;1.125;29.606
3FGL J0158.6+0102;1.041;29.673
3FGL J2247.2-0004;-0.072;341.812
BZB J0323-0111;-1.196161;50.9317443
BZB J2247+0000;0.0017953;341.8758163
BZQ J0011+0057;0.9644108;2.8766804
CGRABS J0016-0015;-0.2534567;4.0462021
CGRABS J2206-0031;-0.5173611;331.680375
CRATES J0357+2319;23.3316183;59.3400408
CRATES J1726-5529;-55.4946389;261.70675
CRATES J1910+3327;33.4521111;287.6625417
CRATES J2148-5504;-55.0743333;327.169625
FBQS J0002-0024;-0.4131389;0.73825
FBQS J0105-0033;-0.5538629;16.4198149
FBQS J0243+0046;0.774248;40.762228
FBQS J2204+0031;0.5282882;331.1886395
FBQS J2211-0023;-0.3909443;332.7911758
FBQS J2247+0000;0.0017953;341.8758163
FBQS J2356-0023;-0.3982955;359.0167225
IGR  J16479-4514;-45.2018778;252.02743
IGR J03184-0014;-0.2564305;49.6204451
IGR J17391-3021;-30.3437778;264.79825
IGR J17544-2619;-26.3312778;268.6053333
PBC J0255.2-0011;-0.1835573;43.8008169
PBC J0303.8-0107;-1.1037431;45.9546211
PMN J0148+0129;1.4837281;27.1408121
SDSS J001111.97+005626.3;0.940665;2.7998977
SDSS J001947.33+003526.7;0.5907644;4.9472367
SDSS J002806.5+010112;1.020025;7.027081
SDSS J003443.5-000226.7;-0.040766;8.681288
SDSS J003937.83-001943.3;-0.3287035;9.9076527
SDSS J005205.56+003538.2;0.5939294;13.0232038
SDSS J005621.72+003235.8;0.5432455;14.090507
SDSS J011059.31+002601.1;0.4336386;17.747128
SDSS J011248.61-001724.7;-0.2901874;18.2025255
SDSS J013527.84-004447.8;-0.7466336;23.8660155
SDSS J020106.17+00340;0.566705;30.275762
SDSS J021704.78+011439.1;1.244202;34.2699098
SDSS J023140.97-011003.6;-1.167687;37.9207379
SDSS J023301.24+002515.0;0.4208405;38.2551827
SDSS J025329.59-001405.5;-0.2348834;43.3733173
SDSS J030437.21+004653.5;0.7815829;46.1550528
SDSS J030911.64+002358.8;0.3996808;47.2985313
SDSS J031757.07-001008.7;-0.1690731;49.487794
SDSS J032213.89+005513.4;0.9203944;50.5579027
SDSS J033059.05+0109;1.150054;52.746183
SDSS J034135.63-004032.2;-0.6756301;55.3984736
SDSS J110243.20+385152.5;38.8646077;165.6800077
SDSS J222024.58+010931.2;1.158691;335.1024498
SDSS J222032.50+002537.5;0.4271001;335.1354236
SDSS J224028.85-010649.8;-1.1138646;340.1202284
SDSS J225409.59+005629.1;0.9414348;343.5399788
SDSS J230155.54-010649.0;-1.1136231;345.4814575
SDSS J230609.22+000844.2;0.145617;346.5384202
SDSS J231731.4-001605;-0.268036;349.380694
SDSS J232259.99-005359.3;-0.8998053;350.7499631
SDSS J233604.04+000447.1;0.07975;354.0168333
SDSS J234023.66-005326.9;-0.8908328;355.0986254
SDSS J234442.95-001339.4;-0.2276378;356.1789754
SWIFT J0009.4-0037;-0.6153306;2.2982
SWIFT J0304.1-0108;-1.1037431;45.9546211
SWIFT J0317.2+0116;1.2550194;49.2589667
SWIFT J1017.0-0404;-4.071;154.296
SWIFT J1926.9+4140;41.5513806;291.625925
VV2003C J014214.0+011615;1.271;25.558625
